"","X.1","X","text","scores"
"253",253,253,"Chandrababu first said that Narendra Modi had implemented Demonetization taking his advice Upon seeing",0
"254",254,254,"Demonetization
HPNEs Ladies at Mmbi extend helpFillingForms Water at SBI Mahul Rd Brnch
BringingSmilles
dpradhanbjp Ashut…",0
"255",255,255,"The visionary political leader ChandrababuNaidu leading support ecosystem for an efficient running of DeMonetization h…",0
"256",256,256,"If evenof those who downloaded the app have taken the demonetization survey thatd make the sample sizemln We aremln people",0
"257",257,257,"The two thousand rupee note video review 

DeMonetization 
DeMonetisation",0
"258",258,258,"of Indians from both rural amp urban areas support demonetization feel it was worth the inconvenience",0
"259",259,259,"So are you in support of the demonetization or not
Well according to public opinion majority of the Indians sure are
Ma…",0
"260",260,260,"Before I wished someone or company deposit extra money to my account by mistakebut scary now demonetization modi",0
"261",261,261,"Dear INCIndia AamAadmiPartypls dont worry abt COMMONPPLU nvr did it in D past Were okay with demonetization
 DeModitisationMarch",0
"262",262,262,"if u cn be in Q for Long hours just to getmin glance of God in TirupatiShirdihave same patience and faith for Country demonetization",0
"263",263,263,"narendramodi helped bank to come out of NPA mess through Demonetization",0
"264",264,264,"Bet she has a hand in thisDeMonetisation demonetization",0
"265",265,265,"So farlakhs asshole Bhakts found DeMonetization modi",0
"266",266,266,"Indores collector would like you to shut up about demonetization At internetfreedom we think that is a problem",0
"267",267,267,"DO YOU SUPPORT DEMONETISATION DEMONETIZATION MOVE BY PM NARENDRAMODITweeter poll",0
"268",268,268,"DO YOU SUPPORT DEMONETISATION DEMONETIZATION MOVE BY PM NARENDRAMODITweeter poll",0
"269",269,269,"all your policies are proaam aadmi jandhangttax declaration and now demonetization WhatsTheDealModiJi bhaiyyajispeaks MediaCooks",0
"270",270,270,"Thinking of getting married Need to withdraw cash by monthend to pay salaries to servants Demonetization SacrificesOneHasToMake",0
"271",271,271,"MVenkaiahNaidu sir
Just saw ur speech on Demonetization in RS Awesome U r cutest politician in Indian history I support Demonetization",0
"272",272,272,"Political parties voicing their views on Demonetization Why is industry silentficciindia followassocham Demonetizat…",0
"273",273,273,"Demonetization a hollow move",0
"274",274,274,"Whats the takeaway from narendramodi poll on demonetization Thatof indian population is corrupt who think govs move was bad edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA",0
"275",275,275,"Indian online payment firm Paytm says it has addedmillion new users in the two weeks since demonetization",0
"276",276,276,"Be the Change you want to see Sorry pink Mahatma Gandhi no changedemonetization",0
"277",277,277,"People standing in queue must have voted in App 
demonetization",0
"278",278,278,"RBI by letting bonds rally crazily without OMOs to suck out liquidity giving easy exit to FIIs at huge profits on a Demonetization rally",0
"279",279,279,"days into demonetization deposited amountRs L Croreout of approx Rs L Crore demonitized on th
Whatll be final f…",0
"280",280,280,"Please share your opinions on Demonetization scheme and give your frank view and suggestions",0
"281",281,281,"Swamy 
The Good News Demonetization Spurs Behaviour Changes We All Hoped To See",0
"282",282,282,"gauravbh sambitswarajIndiaToday None will dare to hoardUB nowin fear of another strike onUB notemark it DeMonetization",0
"283",283,283,"Glad to see no atm queues in bhagalpur Cash withdrawals in minutes NoteBan demonetization",0
"284",284,284,"Is Demonetization a Conspiracydemonetization",0
